workload,req_clk_mhz,act_clk_mhz,throughput_tok_s,throughput_std,power_avg_w,power_std_w,temp_avg,n_rep
prefill,510,510,3361.9,2.0,103.63,0.75,58.8,3
decode,510,510,246.0,0.5,83.91,0.41,59.0,3
prefill,660,660,4114.2,1.0,119.36,0.41,64.7,3
decode,660,660,269.8,0.1,90.67,0.42,64.3,3
prefill,810,810,5120.6,1.5,139.76,0.17,67.7,3
decode,810,810,325.4,1.5,102.51,0.49,68.4,3
prefill,960,960,6115.4,4.7,163.7,0.75,70.4,3
decode,960,960,328.3,1.0,107.1,0.4,70.9,3
prefill,1110,1110,6879.0,1.0,202.97,0.91,76.5,3
decode,1110,1110,317.5,0.7,118.94,0.7,76.5,3
prefill,1260,1260,7334.2,7.7,235.63,0.86,75.8,3
decode,1260,1260,328.5,7.0,142.6,4.37,81.6,3
prefill,1410,802,4780.1,450.9,153.76,9.73,82.5,3
decode,1410,1251,295.7,4.6,129.98,2.48,82.1,3
prefill,1530,942,5630.4,730.6,175.07,22.83,82.2,3
decode,1530,1092,262.7,22.6,114.42,9.14,82.1,3
