phase,cap_w,throughput_tok_s,power_avg_w,sm_clk_avg,tok_per_joule,temp_avg
prefill,100,2052.4,76.5,444,26.82,35.6
decode,100,407.4,99.4,864,4.1,37.9
prefill,120,4484.1,121.5,651,36.91,40.0
decode,120,493.3,114.1,1107,4.32,40.0
prefill,140,5607.8,142.4,812,39.38,41.9
decode,140,537.4,130.1,1186,4.13,41.9
prefill,160,6535.7,161.7,935,40.41,43.7
decode,160,627.1,154.3,1255,4.06,43.9
prefill,180,7169.1,181.6,1047,39.49,45.6
decode,180,645.8,173.4,1341,3.72,46.0
prefill,200,7561.7,201.2,1122,37.58,47.7
decode,200,652.2,186.1,1412,3.51,48.1
prefill,220,7914.6,221.0,1185,35.82,49.7
decode,220,656.9,199.5,1473,3.29,49.9
prefill,250,8244.0,245.3,1298,33.61,52.0
decode,250,674.6,218.8,1522,3.08,52.4
