workload,req_clk_mhz,act_clk_mhz,throughput_tok_s,power_avg_w,power_std_w,temp_avg,n_samples
prefill,510,510,3366.0,102.29,1.48,51.0,147
decode,510,510,246.0,81.65,2.37,52.0,149
prefill,660,660,4109.0,116.36,1.95,55.7,160
decode,660,660,269.5,87.46,2.1,55.4,161
prefill,810,810,5096.8,136.4,6.54,59.6,156
decode,810,810,325.3,98.95,3.0,59.1,160
prefill,960,960,6122.3,161.38,3.02,64.1,155
decode,960,960,332.8,103.72,6.29,62.5,164
prefill,1110,1110,6879.2,197.2,5.52,69.1,153
decode,1110,1110,333.4,115.48,6.6,67.1,169
prefill,1260,1260,7351.0,234.59,13.45,73.5,155
decode,1260,1260,319.3,137.29,8.14,72.7,170
prefill,1410,1342,7464.1,242.11,5.08,74.6,150
decode,1410,1410,323.6,160.71,8.61,76.2,170
prefill,1530,1321,7394.0,238.79,4.27,76.8,141
decode,1530,1529,335.8,182.2,10.94,80.2,169
