batch,ctx_len,cuda_s,n_samples,phase,power_avg_w,power_max_w,power_p50_w,sm_clk_avg,steps,temp_avg,throughput_tok_s,tokens_per_step,total_tokens,util_gpu_avg,util_mem_avg,wall_s,window_s
1,256,4.01478515625,200,decode,113.63203000000021,120.609,119.553,2797.0,335,66.675,83.43833383461329,1,335,94.0,61.0,4.014941149999686,4.014941149999686
2,256,4.013664794921875,199,decode,90.35310552763849,96.495,93.307,2800.859296482412,347,62.2713567839196,172.9078718488311,2,694,92.25125628140704,64.64824120603015,4.01369811900031,4.01369811900031
4,256,4.01046142578125,200,decode,92.82096999999987,101.175,94.646,2805.38,337,60.56,336.117216951722,4,1348,83.34,56.03,4.010505657000067,4.010505657000067
8,256,4.011099365234375,199,decode,99.09533165829141,110.025,99.596,2790.708542713568,322,62.381909547738694,642.2111904090493,8,2576,92.22110552763819,59.165829145728644,4.011141565999878,4.011141565999878
16,256,4.017180419921875,199,decode,107.96856281407018,124.105,106.693,2783.8693467336684,288,63.90954773869347,1147.0610947428954,16,4608,94.20603015075378,55.79396984924623,4.017222814999968,4.017222814999968
24,256,4.1468095703125,206,decode,118.63718446601925,131.772,117.725,2772.7184466019417,256,65.77669902912622,1481.5970540541493,24,6144,88.9368932038835,55.69417475728155,4.146876496000004,4.146876496000004
32,256,4.6026552734375,229,decode,122.85859825327489,138.288,120.798,2773.528384279476,256,67.10480349344978,1779.8188831882628,32,8192,95.10917030567686,56.580786026200876,4.602715522000381,4.602715522000381
48,256,4.02709375,200,decode,131.51575499999993,139.324,130.013,2771.6,240,68.285,2860.5888336970593,48,11520,94.885,57.94,4.027142895999987,4.027142895999987
64,256,4.01818017578125,200,decode,138.61158999999995,146.811,137.444,2764.825,221,69.305,3519.931917349291,64,14144,94.85,63.325,4.018259538000166,4.018259538000166
96,256,4.029449951171875,200,decode,144.76650500000008,145.108,144.853,2713.55,173,71.38,4121.572219008447,96,16608,96.34,58.545,4.029530266000165,4.029530266000165
128,256,4.026263671875,200,decode,144.9394850000003,145.151,144.9305,2688.5,151,72.25,4800.389197117462,128,19328,97.5,55.0,4.02634020000005,4.02634020000005
160,256,4.03730126953125,200,decode,145.10627000000025,145.429,145.048,2674.375,119,73.04,4715.919523268219,160,19040,97.335,54.39,4.037388659000044,4.037388659000044
192,256,4.053431884765625,201,decode,145.05488557213914,145.357,145.018,2671.9701492537315,108,73.0,5115.527130858804,192,20736,98.09452736318408,53.21890547263681,4.053541202999895,4.053541202999895
256,256,4.084365478515625,203,decode,145.07610837438426,145.27,145.064,2668.3004926108374,84,73.75862068965517,5264.8628002309915,256,21504,97.80788177339902,51.22660098522167,4.084436920000371,4.084436920000371
