workload,req_freq,act_sm_clk,tok_s,power_avg_w,n
prefill_s2048,600,597.0,2786.4,30.3,146
decode_b1,600,600.0,31.2,38.3,124
prefill_s2048,825,825.0,3788.9,36.5,134
decode_b1,825,823.0,39.6,41.9,125
prefill_s2048,1050,1048.0,4754.1,40.8,129
decode_b1,1050,1050.0,44.1,44.8,125
prefill_s2048,1275,1271.0,5712.6,46.2,125
decode_b1,1275,1271.0,48.0,46.8,125
prefill_s2048,1500,1492.0,6670.2,51.3,138
decode_b1,1500,1492.0,53.0,49.7,125
prefill_s2048,1725,1717.0,7629.4,60.0,134
decode_b1,1725,1710.0,60.8,56.4,125
prefill_s2048,1950,1942.0,8628.8,76.6,130
decode_b1,1950,1939.0,68.9,67.0,124
prefill_s2048,2175,2167.0,9520.5,84.9,128
decode_b1,2175,2145.0,71.8,71.4,125
prefill_s2048,2400,2392.0,10447.7,104.3,127
decode_b1,2400,2385.0,76.4,81.2,124
prefill_s2048,2600,2595.0,11244.3,129.3,127
decode_b1,2600,2587.0,79.9,95.9,124
