batch,n_samples,phase,power_avg_w,power_max_w,power_p50_w,seq_len,sm_clk_avg,sm_clk_max,sm_clk_min,temp_avg,throughput_tok_s,util_gpu_avg,util_mem_avg,window_s
8,199,prefill,126.67830150753784,137.845,134.448,16,2750.6532663316584,2790,2745,62.33165829145729,7860.246169099683,91.43718592964824,51.37185929648241,4.005981406000501
8,200,prefill,137.61089500000068,145.896,143.741,32,2733.94,2760,2715,65.985,9548.17261215659,93.83,36.495,4.02171196099971
8,199,prefill,138.65130150753743,145.965,144.238,64,2690.743718592965,2760,2655,67.56281407035176,10981.499620818664,74.8140703517588,22.170854271356784,4.009652736000135
8,199,prefill,137.98553266331646,148.44,144.946,128,2681.095477386935,2805,2647,67.86934673366834,11748.231835179355,98.0,27.748743718592966,4.009454414999709
8,200,prefill,137.0895549999998,145.221,144.614,256,2694.97,2820,2655,68.365,11698.014031356253,76.49,19.51,4.02666639600011
8,217,prefill,138.27200460829496,146.588,144.817,512,2712.2718894009217,2820,2670,69.48847926267281,11263.527178012648,100.0,27.774193548387096,4.363819541000339
8,221,prefill,139.01067420814465,145.113,144.998,1024,2655.4117647058824,2707,2640,69.09049773755656,11056.569867859609,100.0,36.755656108597286,4.445501686999705
8,228,prefill,137.63097807017573,145.347,144.722,2048,2683.6359649122805,2820,2655,69.01754385964912,10706.02318584006,78.50877192982456,27.42105263157895,4.591060484999616
8,319,prefill,140.0778777429465,145.564,144.932,4096,2665.131661442006,2730,2647,70.52978056426332,10224.549102330702,95.11598746081505,33.793103448275865,6.40967140399971
