phase,batch,seq_len,load_tokens,throughput_tok_s,power_avg_w,util_gpu_avg,sm_clk_avg,tok_per_joule,cuda_s,iters,mem_clk_avg,n_samples,power_max_w,power_p50_w,power_std_w,sm_clk_max,sm_clk_min,temp_avg,util_mem_avg,wall_s,window_s
prefill,1,128,128,3722.4838571817254,86.41913197969541,49.79187817258883,2839.695431472081,43.07476564398195,4.022760009765625,117,13801.0,197,93.09,92.373,9.636079672494546,2872,2835,51.16751269035533,25.83248730964467,4.023120199999539,4.023120199999539
prefill,2,128,256,6521.064521826158,125.1868724489796,71.93877551020408,2821.168367346939,52.09064172829977,4.00388916015625,102,13801.0,196,142.763,125.818,13.595988981938609,2880,2797,59.83673469387755,29.770408163265305,4.004254200001014,4.004254200001014
prefill,3,128,384,9069.482979791937,141.66440609137047,84.88832487309645,2769.253807106599,64.02090143901297,4.02189697265625,95,13801.0,197,150.117,149.311,13.311662529033194,2865,2752,63.16243654822335,30.086294416243653,4.0222800000046846,4.0222800000046846
prefill,4,128,512,9607.351599153808,141.53214572864306,85.15075376884423,2746.9195979899496,67.88105662987547,4.049766357421875,76,13801.0,199,149.761,149.232,13.10787988383762,2850,2730,64.4572864321608,27.87939698492462,4.050231700006407,4.050231700006407
prefill,5,128,640,9972.932590346245,141.95743434343456,88.70707070707071,2736.90404040404,70.25297855284525,4.042536376953125,63,13801.0,198,149.705,149.277,12.609989018380194,2850,2715,66.1969696969697,29.59090909090909,4.042943199980073,4.042943199980073
prefill,6,128,768,10200.093456571924,143.10860804020086,90.09045226130654,2726.934673366834,71.2751915922947,4.065431640625,54,13801.0,199,150.397,149.3,10.94733138070326,2850,2707,66.8894472361809,29.391959798994975,4.06584510000539,4.06584510000539
prefill,8,128,1024,10488.6381622599,142.6940200000007,93.145,2719.505,73.50439886871116,4.100037109375,42,13801.0,200,149.995,149.377,11.914519975206726,2857,2692,68.315,30.18,4.100436999986414,4.100436999986414
prefill,10,128,1280,10710.815440272456,145.08065829145718,96.69849246231156,2708.326633165829,73.82662559164265,4.06279248046875,34,13801.0,199,151.434,149.313,7.940689523863216,2835,2685,69.12562814070351,30.758793969849247,4.063182700017933,4.063182700017933
prefill,12,128,1536,10669.472257544669,145.76212195121968,91.76585365853659,2706.258536585366,73.19783846941583,4.17450244140625,29,13801.0,205,149.544,149.3,6.362746904865208,2790,2685,70.0,28.858536585365854,4.174901899998076,4.174901899998076
prefill,14,128,1792,10733.902040109906,146.18845588235277,90.11274509803921,2697.0686274509803,73.4251003290449,4.1732568359375,25,13801.0,204,149.887,149.367,5.140337765759453,2812,2677,70.07843137254902,28.264705882352942,4.17369189998135,4.17369189998135
prefill,16,128,2048,10676.386121057982,146.27938164251194,96.55072463768116,2699.183574879227,72.98626779233796,4.2197587890625,22,13801.0,207,151.889,149.345,6.218686455447049,2805,2677,70.76328502415458,31.917874396135264,4.220154599985108,4.220154599985108
